State,Year,Group Name,Cases Registered under Human Rights Violations,Policemen Chargesheeted,Policemen Convicted
District of Columbia,2005,Total Violations by Police,14,14,14
New Mexico,2005,Total Violations by Police,26,11,18
Montana,2006,Total Violations by Police,100,54,32
Maryland,2006,Total Violations by Police,230,46,28
Delaware,2006,Total Violations by Police,114,23,5
Colorado,2006,Total Violations by Police,52,31,21
South Dakota,2006,Total Violations by Police,218,16,28
New York,2006,Total Violations by Police,227,60,20
Idaho,2006,Total Violations by Police,219,65,24
Minnesota,2006,Total Violations by Police,24,68,16
Kansas,2006,Total Violations by Police,127,59,26
Indiana,2006,Total Violations by Police,190,22,31
South Carolina,2006,Total Violations by Police,56,64,18
Michigan,2006,Total Violations by Police,231,67,27
Missouri,2006,Total Violations by Police,34,36,1
Alaska,2006,Total Violations by Police,222,30,19
Arkansas,2006,Total Violations by Police,127,43,20
Ohio,2006,Total Violations by Police,150,10,33
West Virginia,2006,Total Violations by Police,125,17,14
Utah,2006,Total Violations by Police,194,10,21
North Dakota,2006,Total Violations by Police,232,55,3
Louisiana,2006,Total Violations by Police,198,59,18
Wisconsin,2006,Total Violations by Police,200,22,29
District of Columbia,2006,Total Violations by Police,101,21,24
New Mexico,2006,Total Violations by Police,14,12,15
Montana,2007,Total Violations by Police,14,4,33
Maryland,2007,Total Violations by Police,106,64,7
Delaware,2007,Total Violations by Police,24,27,15
Florida,2007,Total Violations by Police,2,20,31
South Dakota,2007,Total Violations by Police,235,5,17
Idaho,2007,Total Violations by Police,63,30,25
Minnesota,2007,Total Violations by Police,53,41,35
Georgia,2007,Total Violations by Police,122,41,20
Kansas,2007,Total Violations by Police,69,40,39
Indiana,2007,Total Violations by Police,208,40,15
Michigan,2007,Total Violations by Police,178,14,2
Missouri,2007,Total Violations by Police,66,68,26
Alaska,2007,Total Violations by Police,82,39,13
Arkansas,2007,Total Violations by Police,82,28,24
Ohio,2007,Total Violations by Police,234,49,40
West Virginia,2007,Total Violations by Police,130,59,13
Utah,2007,Total Violations by Police,61,56,5
North Dakota,2007,Total Violations by Police,11,65,16
Louisiana,2007,Total Violations by Police,124,23,39
Wisconsin,2007,Total Violations by Police,20,57,1
Oklahoma,2007,Total Violations by Police,50,59,36
District of Columbia,2007,Total Violations by Police,80,38,15
New Mexico,2007,Total Violations by Police,243,16,2
Montana,2008,Total Violations by Police,83,27,0
Maryland,2008,Total Violations by Police,215,16,18
Delaware,2008,Total Violations by Police,113,59,3
Florida,2008,Total Violations by Police,88,48,3
Colorado,2008,Total Violations by Police,29,44,23
South Dakota,2008,Total Violations by Police,190,62,23
New York,2008,Total Violations by Police,153,24,27
Minnesota,2008,Total Violations by Police,116,47,6
Georgia,2008,Total Violations by Police,16,12,24
Kansas,2008,Total Violations by Police,191,21,24
Indiana,2008,Total Violations by Police,179,48,8
Michigan,2008,Total Violations by Police,94,44,13
Missouri,2008,Total Violations by Police,217,22,14
Arkansas,2008,Total Violations by Police,60,48,22
Ohio,2008,Total Violations by Police,72,2,23
West Virginia,2008,Total Violations by Police,20,1,21
Utah,2008,Total Violations by Police,11,50,21
North Dakota,2008,Total Violations by Police,88,49,22
Louisiana,2008,Total Violations by Police,175,18,0
District of Columbia,2008,Total Violations by Police,247,58,5
New Mexico,2008,Total Violations by Police,37,35,19
Montana,2009,Total Violations by Police,182,45,31
Maryland,2009,Total Violations by Police,172,15,29
Delaware,2009,Total Violations by Police,7,65,4
Florida,2009,Total Violations by Police,129,43,10
Colorado,2009,Total Violations by Police,47,40,17
South Dakota,2009,Total Violations by Police,50,50,28
New York,2009,Total Violations by Police,228,27,34
Minnesota,2009,Total Violations by Police,158,55,23
Georgia,2009,Total Violations by Police,57,40,23
Kansas,2009,Total Violations by Police,59,29,13
Indiana,2009,Total Violations by Police,192,47,14
Michigan,2009,Total Violations by Police,172,7,31
Missouri,2009,Total Violations by Police,172,11,27
Arkansas,2009,Total Violations by Police,162,60,7
Ohio,2009,Total Violations by Police,156,57,9
West Virginia,2009,Total Violations by Police,200,19,39
North Dakota,2009,Total Violations by Police,58,59,38
Louisiana,2009,Total Violations by Police,116,51,25
Wisconsin,2009,Total Violations by Police,25,3,22
New Mexico,2009,Total Violations by Police,190,60,25
Montana,2010,Total Violations by Police,43,0,21
Maryland,2010,Total Violations by Police,147,58,26
Delaware,2010,Total Violations by Police,80,49,38
Florida,2010,Total Violations by Police,0,69,34
South Dakota,2010,Total Violations by Police,72,15,22
Idaho,2010,Total Violations by Police,121,28,17
Minnesota,2010,Total Violations by Police,11,19,10
Georgia,2010,Total Violations by Police,129,28,35
Kansas,2010,Total Violations by Police,220,2,0
Indiana,2010,Total Violations by Police,75,36,34
Michigan,2010,Total Violations by Police,168,51,21
Missouri,2010,Total Violations by Police,108,10,2
Arkansas,2010,Total Violations by Police,233,16,36
Ohio,2010,Total Violations by Police,47,49,28
West Virginia,2010,Total Violations by Police,174,59,6
North Dakota,2010,Total Violations by Police,72,3,26
Louisiana,2010,Total Violations by Police,156,45,36
District of Columbia,2010,Total Violations by Police,27,60,20
New Mexico,2010,Total Violations by Police,250,48,16
